date,category,repeatable,repeatable_year_period,event
XXXX-01-01,ID,T,XXXX-XXXX,Tahun Baru Masehi
XXXX-05-01,ID,T,2014-XXXX,Hari Buruh
XXXX-06-01,ID,T,2017-XXXX,Hari kelahiran Pancasila
XXXX-08-17,ID,T,1945-XXXX,Proklamasi Kemerdekaan Republik Indonesia
XXXX-12-25,ID,T,XXXX-XXXX,Hari Raya Natal
